Time (UTC),Open,High,Low,Close,Volume 
2003.12.02 16:51:00,1.20852,1.20895,1.20833,1.20837,5503.7
2003.12.02 16:52:00,1.20823,1.20848,1.20812,1.20824,4242.2
2003.12.02 16:53:00,1.20802,1.20829,1.20802,1.20806,3662.4
2003.12.02 16:54:00,1.208,1.20829,1.2079,1.20809,2295.9
2003.12.02 16:55:00,1.20808,1.20868,1.20798,1.20845,4976
2003.12.02 16:56:00,1.20841,1.20849,1.20807,1.20816,4019.5
2003.12.02 16:57:00,1.20828,1.20841,1.20806,1.20806,2717.8
2003.12.02 16:58:00,1.20812,1.20833,1.20794,1.20802,3304
2003.12.02 16:59:00,1.20802,1.20824,1.20781,1.20785,3522.5
2003.12.02 17:00:00,1.20786,1.20806,1.20774,1.20806,2817.3
2003.12.02 17:01:00,1.20818,1.20837,1.20794,1.20822,2060.3
2003.12.02 17:02:00,1.2081,1.20827,1.20795,1.20821,1565.1
2003.12.02 17:03:00,1.20807,1.20851,1.20799,1.20828,2669.6
2003.12.02 17:04:00,1.20819,1.20859,1.20815,1.20845,2580.4
2003.12.02 17:05:00,1.20845,1.20859,1.20799,1.20799,4139.2
2003.12.02 17:06:00,1.20819,1.20841,1.20798,1.20799,5071.2
2003.12.02 17:07:00,1.20799,1.20821,1.2079,1.20795,2381.8
2003.12.02 17:08:00,1.20804,1.20812,1.20774,1.2078,4210.3
2003.12.02 17:09:00,1.20809,1.2083,1.20793,1.208,3102.2
2003.12.02 17:10:00,1.20807,1.20831,1.20777,1.20807,837
2003.12.02 17:11:00,1.20808,1.20862,1.20804,1.20845,2879.3
2003.12.02 17:12:00,1.20845,1.20867,1.20808,1.20834,2228.7
2003.12.02 17:13:00,1.20847,1.20858,1.20783,1.20783,1009.4
2003.12.02 17:14:00,1.20783,1.20805,1.20781,1.20795,530.9
2003.12.02 17:15:00,1.20789,1.20829,1.20774,1.20788,3426.4
2003.12.02 17:16:00,1.20783,1.20801,1.20761,1.20784,1755.4
2003.12.02 17:17:00,1.20776,1.20811,1.20776,1.20791,2613.8
2003.12.02 17:18:00,1.20794,1.20814,1.20772,1.20782,2834.2
